MAV0,RMS0,VAR0,SSC0,WL0,ZC0,WAMP0,AR1C0,AR2C0,AR3C0,AR4C0,DELTAX0,DELTAY0,DELTAZ0,MAV1,RMS1,VAR1,SSC1,WL1,ZC1,WAMP1,AR1C1,AR2C1,AR3C1,AR4C1,DELTAX1,DELTAY1,DELTAZ1,MOTION,FOLDNO
30.6015,39.4160,1553.4386,26.8000,7390.3844,15.0301,66.3327,1.7447,-1.4972,0.9799,-0.4384,-12.7614,-16.8463,40.0592,21.8934,29.7998,888.0303,37.6000,5681.3096,17.6353,70.7415,1.3360,-0.8095,0.6484,-0.3522,7.3016,3.3998,51.9995,EF,5
40.2038,48.8792,2389.1550,25.0000,9888.5014,15.2305,76.7535,1.6715,-1.3307,0.8020,-0.3848,-7.8912,-25.8649,48.3145,23.0907,31.6168,999.6076,34.2000,5477.2858,14.8297,67.9359,1.3606,-0.7841,0.6115,-0.3600,0.8063,15.6847,54.8654,EF,5
43.7699,53.3087,2841.7612,26.2000,11282.8656,14.6293,81.1623,1.6287,-1.2936,0.7914,-0.4104,-3.9423,-23.7325,42.0261,16.7309,21.8033,475.3793,29.6000,4438.1052,15.6313,62.5251,1.5848,-1.2400,0.7906,-0.3621,-3.2865,15.2393,44.5740,EF,5
45.9038,57.2427,3276.6622,27.8000,12112.1688,15.8317,80.1603,1.6845,-1.4407,0.8951,-0.4408,-0.2437,-17.8664,35.1428,15.8635,19.6736,386.9952,29.2000,4570.3740,16.6333,62.7255,1.5605,-1.2859,0.7891,-0.3920,-7.0459,10.7578,37.2697,EF,5
41.4702,52.1700,2721.3702,28.4000,11519.5774,18.2365,80.5611,1.6134,-1.3387,0.8105,-0.4121,4.7816,-15.4472,34.0675,14.1354,17.9704,322.9324,33.2000,4718.8026,19.2385,67.1343,1.4028,-1.1145,0.6936,-0.3902,-11.8053,7.7879,37.1562,EF,5
38.4603,48.3504,2337.7232,28.8000,11255.9346,18.6373,79.1583,1.5943,-1.3211,0.7752,-0.3885,7.1991,-10.7865,26.7633,13.9877,18.0700,326.4978,34.4000,5193.6214,21.6433,72.5451,1.3482,-1.1113,0.6651,-0.3603,-11.4947,5.6870,31.6298,EF,5
37.1421,47.0335,2212.1383,30.2000,10630.8199,16.4329,76.9539,1.6356,-1.3765,0.8257,-0.3917,6.6600,-2.8002,14.2872,14.5130,18.5739,344.9863,34.0000,5350.3049,21.4429,74.3487,1.3741,-1.1452,0.6838,-0.3593,-7.7742,2.6031,17.2952,EF,5
35.0888,44.1009,1944.8126,31.4000,10662.2309,17.6353,79.7595,1.5596,-1.3289,0.8495,-0.4247,4.0329,1.4089,5.5654,13.1448,16.5835,275.0118,37.2000,5020.6244,21.8437,71.3427,1.2649,-1.0104,0.6081,-0.3243,-3.3944,-0.5480,7.2050,EF,5
31.5079,40.1780,1614.2443,31.4000,10225.7759,19.2385,78.5571,1.5162,-1.3074,0.8369,-0.4328,1.0318,0.6471,2.2963,13.0148,16.3356,266.8500,36.8000,5180.8184,23.6473,71.7435,1.2459,-1.0306,0.6197,-0.3241,0.2822,-0.6810,4.1212,EF,5
29.8535,40.3034,1624.0102,33.4000,9075.7764,17.6353,74.9499,1.5713,-1.2610,0.7635,-0.3784,-0.2996,0.4030,0.2404,13.3319,16.6379,276.8117,31.2000,4960.5218,22.4449,71.5431,1.3201,-1.0881,0.6704,-0.3667,1.7457,-0.3075,0.6839,EF,5
32.0336,43.3439,1878.6795,31.6000,9255.3732,17.2345,73.3467,1.6560,-1.3812,0.8131,-0.3751,-0.4775,0.3395,-0.1943,12.1133,15.6110,243.7034,31.0000,4355.9658,22.4449,64.3287,1.3522,-1.0926,0.6760,-0.3670,1.2079,-0.2480,0.1576,EF,5
29.3223,38.1058,1452.0432,29.4000,8633.1801,17.6353,71.9439,1.7004,-1.5237,0.9307,-0.4187,-0.2112,0.3566,0.0272,10.2772,13.5439,183.4366,33.6000,3906.3192,23.4469,58.1162,1.3011,-1.0600,0.6301,-0.3200,0.6702,-0.3026,0.1677,EF,5
27.4457,35.4356,1255.5795,29.8000,8296.4391,18.2365,71.9439,1.7003,-1.5501,0.9703,-0.4149,-0.1064,0.2841,0.3266,11.4391,14.7723,218.2118,33.0000,4332.4116,21.8437,61.1222,1.2981,-1.0653,0.6569,-0.3496,0.5111,-0.4006,0.4850,EF,5
29.8564,39.4965,1559.9350,29.6000,8651.2081,17.4349,74.5491,1.6670,-1.3894,0.8152,-0.3552,0.0195,0.2837,0.2362,11.7376,14.8731,221.2104,30.6000,4391.2499,20.0401,62.7255,1.2601,-0.9760,0.5798,-0.3500,0.0313,-0.4438,0.3863,EF,5
28.8659,38.6085,1490.5677,31.6000,8615.6828,19.2385,76.1523,1.4861,-1.0584,0.5774,-0.3097,0.1337,0.3027,0.0958,11.0386,13.7621,189.3834,30.8000,4133.1085,20.4409,61.9238,1.1515,-0.8226,0.4875,-0.3219,-0.0731,-0.3539,0.1046,EF,5
24.0715,31.3322,981.5606,31.8000,7390.4406,19.8397,71.3427,1.3980,-0.9920,0.5954,-0.3449,-0.0159,0.3412,-0.0297,10.6425,13.3703,178.7576,33.0000,4035.7439,21.6433,60.7214,1.1334,-0.8164,0.5359,-0.3658,0.1904,-0.3060,-0.1153,EF,5
21.3471,27.7286,768.8334,31.0000,6688.8902,16.6333,64.1283,1.4959,-1.2103,0.7782,-0.3928,-0.2363,0.3276,-0.3169,9.3929,12.1534,147.7041,32.0000,3599.4903,20.6413,55.7114,1.1587,-0.8479,0.5224,-0.3718,0.6005,-0.2864,-0.4441,EF,5
21.6556,27.8363,774.7815,34.8000,7333.2332,18.6373,66.9339,1.4319,-1.1798,0.7579,-0.4066,-0.3606,0.3556,-0.4164,8.8111,11.2402,126.3169,34.6000,3638.8580,23.8477,56.7134,1.1162,-0.8847,0.5599,-0.3737,0.8481,-0.1527,-0.1284,EF,5
25.1169,31.9208,1018.9345,36.0000,7564.0636,20.6413,70.9419,1.4700,-1.1219,0.7116,-0.3548,-0.2602,-0.0443,-0.0061,9.1389,11.3562,128.9572,36.8000,3891.0845,24.6493,58.7174,1.1005,-0.9542,0.6532,-0.4180,0.7152,0.1348,0.5180,EF,5
